Station name                                 	CSU_atmos
Sonde type                                   	RS92-SGP
Sonde serial number                          	J3713986
Release point latitude                       	40.58?N
Release point longitude                      	105.09?W
Release point height from sea level          	1529 m
Balloon release date and time                	2015-09-02T22:05:14
Reason for termination                       	ManualStop
System trademark and model                   	MW41
Terminating altitude                         	13834 m
Surface pressure                             	845.2 hPa
Surface temperature                          	31.9 ?C
Surface relative humidity                    	15 %
Surface wind speed                           	3.1 m/s
Surface wind direction                       	147?
Surface pressure                             	845.1 hPa
Average ascent rate                          	4.1 m/s
Sounding length                              	00:50:03 hh:mm:ss
P correction (Pref - P)                      	1.65 hPa
T correction (Tref - T)                      	-0.26 ?C 
U1 correction (Uref - U1)                    	-1.0 %Rh
U2 correction (Uref - U2)                    	-0.9 %Rh
T temperature                                	26.22 ?C
P pressure                                   	843.66 hPa
Pref pressure                                	845.31 hPa
Tref temperature                             	26.0 ?C
Uref humidity                                	Desiccant 0 %Rh
Software version                             	MW41 2.1.0
Height and pressure in messages is based on  	P Sensor

Elapsed time HeightMSL    Pm  Temp  Dewp    RH Speed   Dir AscRate    Lat      Lon GpsHeightMSL
        1536    8111.7 372.8 -21.1 -35.1  27.6  14.9 260.1     3.1 40.592 -104.963       8101.4
        1537    8114.6 372.6 -21.2 -35.1  27.7  14.8 260.1     2.9 40.592 -104.963       8104.7
        1538    8117.4 372.5 -21.2 -35.1  27.8  14.8 260.2     2.9 40.592 -104.963       8107.6
        1539    8120.6 372.3 -21.2 -35.1  27.8  14.8 260.2     3.1 40.592 -104.962       8110.5
        1540    8124.0 372.2 -21.3 -35.1  27.8  14.8 260.2     3.4 40.592 -104.962       8113.8
        1541    8127.4 372.0 -21.3 -35.1  27.8  14.8 260.2     3.4 40.592 -104.962       8117.5
        1542    8130.6 371.8 -21.3 -35.2  27.7  14.7 260.3     3.2 40.592 -104.962       8121.1
        1543    8133.7 371.7 -21.3 -35.2  27.7  14.7 260.3     3.1 40.592 -104.962       8124.5
        1544    8136.8 371.5 -21.3 -35.2  27.6  14.7 260.3     3.1 40.592 -104.962       8127.6
        1545    8139.9 371.4 -21.4 -35.3  27.5  14.7 260.3     3.1 40.592 -104.961       8130.6
        1546    8143.1 371.2 -21.4 -35.3  27.5  14.7 260.3     3.2 40.592 -104.961       8133.7
        1547    8146.5 371.0 -21.4 -35.3  27.5  14.7 260.2     3.4 40.592 -104.961       8137.1
        1548    8149.8 370.9 -21.4 -35.4  27.5  14.6 260.2     3.4 40.593 -104.961       8140.5
        1549    8153.0 370.7 -21.5 -35.4  27.4  14.6 260.2     3.2 40.593 -104.961       8143.9
        1550    8156.1 370.5 -21.5 -35.5  27.4  14.6 260.2     3.1 40.593 -104.961       8147.1
        1551    8159.1 370.4 -21.5 -35.6  27.2  14.6 260.1     3.0 40.593 -104.960       8150.2
        1552    8162.0 370.2 -21.5 -35.7  26.9  14.6 260.1     2.9 40.593 -104.960       8153.4
        1553    8164.9 370.1 -21.6 -35.8  26.5  14.7 260.0     2.8 40.593 -104.960       8156.8
        1554    8168.0 369.9 -21.6 -36.1  26.0  14.7 259.9     3.1 40.593 -104.960       8160.3
        1555    8171.6 369.8 -21.6 -36.4  25.3  14.7 259.9     3.6 40.593 -104.960       8163.8
        1556    8175.3 369.6 -21.6 -36.6  24.7  14.7 259.8     3.7 40.593 -104.960       8167.2
        1557    8179.0 369.4 -21.7 -36.8  24.4  14.7 259.7     3.7 40.593 -104.959       8170.5
        1558    8182.5 369.2 -21.7 -36.9  24.2  14.7 259.6     3.6 40.593 -104.959       8173.8
        1559    8186.1 369.0 -21.7 -37.0  24.0  14.8 259.5     3.5 40.593 -104.959       8177.0
        1560    8189.4 368.9 -21.8 -37.1  23.8  14.8 259.4     3.3 40.593 -104.959       8180.1
        1561    8192.4 368.7 -21.8 -37.3  23.5  14.8 259.2     3.1 40.593 -104.959       8183.1
        1562    8195.5 368.6 -21.8 -37.4  23.1  14.8 259.1     3.0 40.593 -104.959       8186.1
        1563    8198.6 368.4 -21.8 -37.6  22.8  14.9 259.0     3.1 40.593 -104.958       8189.1
        1564    8201.8 368.2 -21.9 -37.7  22.7  14.9 258.9     3.2 40.593 -104.958       8192.3
        1565    8205.2 368.1 -21.9 -37.7  22.6  14.9 258.7     3.3 40.593 -104.958       8195.9
        1566    8208.5 367.9 -21.9 -37.8  22.5  14.9 258.6     3.4 40.593 -104.958       8199.8
        1567    8212.0 367.7 -21.9 -37.8  22.5  14.9 258.5     3.5 40.593 -104.958       8203.4
        1568    8215.7 367.6 -22.0 -37.8  22.5  15.0 258.3     3.7 40.593 -104.958       8206.7
        1569    8219.4 367.4 -22.0 -37.8  22.6  15.0 258.2     3.8 40.593 -104.957       8210.0
        1570    8223.0 367.2 -22.1 -37.8  22.8  15.0 258.0     3.6 40.593 -104.957       8213.5
        1571    8226.4 367.0 -22.1 -37.8  23.0  15.0 257.9     3.4 40.593 -104.957       8217.3
        1572    8230.1 366.8 -22.1 -37.6  23.3  15.1 257.7     3.6 40.593 -104.957       8221.2
        1573    8233.8 366.7 -22.2 -37.5  23.7  15.1 257.6     3.8 40.593 -104.957       8225.1
        1574    8237.5 366.5 -22.2 -37.3  24.2  15.1 257.5     3.7 40.593 -104.956       8229.0
        1575    8241.2 366.3 -22.2 -37.2  24.5  15.1 257.3     3.7 40.593 -104.956       8232.9
        1576    8245.1 366.1 -22.3 -37.2  24.6  15.1 257.2     3.9 40.593 -104.956       8236.6
        1577    8249.1 365.9 -22.3 -37.2  24.8  15.1 257.1     4.0 40.593 -104.956       8240.3
        1578    8253.0 365.7 -22.3 -37.1  24.9  15.1 257.0     3.8 40.593 -104.956       8244.0
        1579    8256.4 365.5 -22.3 -37.1  25.0  15.2 256.9     3.4 40.593 -104.956       8247.5
        1580    8259.6 365.4 -22.4 -37.1  25.0  15.2 256.8     3.2 40.593 -104.955       8251.1
        1581    8263.2 365.2 -22.4 -37.2  25.0  15.2 256.7     3.7 40.593 -104.955       8254.9
        1582    8267.5 365.0 -22.5 -37.3  25.0  15.2 256.6     4.3 40.593 -104.955       8259.2
        1583    8271.9 364.8 -22.5 -37.3  24.9  15.2 256.5     4.4 40.593 -104.955       8263.4
        1584    8275.9 364.6 -22.5 -37.3  24.9  15.2 256.5     4.0 40.593 -104.955       8267.2
        1585    8279.5 364.4 -22.6 -37.3  25.0  15.2 256.4     3.6 40.593 -104.955       8270.6
        1586    8283.0 364.2 -22.6 -37.2  25.2  15.2 256.4     3.5 40.594 -104.954       8273.9
        1587    8286.3 364.0 -22.6 -37.2  25.5  15.2 256.3     3.4 40.594 -104.954       8277.1
        1588    8289.6 363.9 -22.7 -37.1  25.8  15.2 256.3     3.3 40.594 -104.954       8280.7
        1589    8293.0 363.7 -22.7 -37.0  26.1  15.2 256.3     3.4 40.594 -104.954       8284.6
        1590    8296.4 363.5 -22.7 -36.9  26.4  15.2 256.3     3.4 40.594 -104.954       8288.3
        1591    8299.8 363.4 -22.8 -36.9  26.6  15.2 256.3     3.4 40.594 -104.954       8291.6
        1592    8303.2 363.2 -22.8 -36.8  26.8  15.2 256.3     3.4 40.594 -104.953       8294.7
        1593    8306.7 363.0 -22.8 -36.8  27.1  15.2 256.4     3.5 40.594 -104.953       8298.1
        1594    8310.4 362.8 -22.9 -36.7  27.3  15.3 256.4     3.7 40.594 -104.953       8301.7
        1595    8314.3 362.7 -22.9 -36.7  27.5  15.3 256.4     3.9 40.594 -104.953       8305.5
        1596    8318.1 362.5 -22.9 -36.6  27.7  15.3 256.5     3.8 40.594 -104.953       8309.0
        1597    8321.6 362.3 -23.0 -36.6  27.8  15.3 256.5     3.5 40.594 -104.952       8312.3
        1598    8324.9 362.1 -23.0 -36.6  27.8  15.3 256.6     3.3 40.594 -104.952       8315.9
        1599    8328.1 362.0 -23.0 -36.7  27.7  15.3 256.6     3.2 40.594 -104.952       8319.9
        1600    8331.2 361.8 -23.1 -36.7  27.7  15.3 256.7     3.1 40.594 -104.952       8324.0
        1601    8334.4 361.7 -23.1 -36.7  27.8  15.3 256.8     3.2 40.594 -104.952       8327.7
        1602    8337.6 361.5 -23.1 -36.7  27.9  15.3 256.9     3.2 40.594 -104.952       8330.9
        1603    8341.1 361.3 -23.2 -36.7  28.2  15.3 256.9     3.5 40.594 -104.951       8334.0
        1604    8344.7 361.1 -23.2 -36.6  28.5  15.3 257.0     3.6 40.594 -104.951       8337.3
        1605    8348.2 361.0 -23.3 -36.5  28.9  15.3 257.1     3.5 40.594 -104.951       8340.7
        1606    8351.7 360.8 -23.3 -36.4  29.1  15.3 257.2     3.5 40.594 -104.951       8343.9
        1607    8355.4 360.6 -23.3 -36.4  29.3  15.3 257.3     3.7 40.594 -104.951       8347.1
        1608    8359.1 360.4 -23.3 -36.4  29.4  15.3 257.4     3.7 40.594 -104.951       8350.6
        1609    8362.7 360.3 -23.3 -36.4  29.4  15.3 257.5     3.6 40.594 -104.950       8354.2
        1610    8366.2 360.1 -23.4 -36.4  29.4  15.3 257.5     3.5 40.594 -104.950       8357.7
        1611    8369.8 359.9 -23.4 -36.5  29.4  15.3 257.6     3.6 40.594 -104.950       8361.1
        1612    8373.5 359.7 -23.5 -36.5  29.4  15.3 257.7     3.7 40.594 -104.950       8364.4
        1613    8377.1 359.6 -23.5 -36.5  29.5  15.3 257.8     3.6 40.594 -104.950       8367.8
        1614    8380.5 359.4 -23.6 -36.5  29.6  15.3 257.9     3.4 40.594 -104.949       8371.3
        1615    8383.8 359.2 -23.6 -36.5  29.7  15.3 258.0     3.4 40.594 -104.949       8374.8
        1616    8387.1 359.1 -23.6 -36.5  29.8  15.3 258.0     3.3 40.594 -104.949       8378.3
        1617    8390.3 358.9 -23.6 -36.5  29.8  15.3 258.1     3.1 40.595 -104.949       8381.7
        1618    8393.3 358.8 -23.7 -36.5  29.8  15.3 258.2     3.0 40.595 -104.949       8385.2
        1619    8396.4 358.6 -23.7 -36.6  29.6  15.3 258.2     3.1 40.595 -104.949       8388.7
        1620    8399.7 358.4 -23.7 -36.8  29.4  15.3 258.3     3.3 40.595 -104.948       8392.2
        1621    8403.2 358.3 -23.8 -36.9  28.9  15.3 258.3     3.5 40.595 -104.948       8395.5
        1622    8406.8 358.1 -23.8 -37.2  28.2  15.3 258.3     3.6 40.595 -104.948       8398.5
        1623    8410.5 357.9 -23.8 -37.5  27.4  15.3 258.4     3.7 40.595 -104.948       8401.5
        1624    8414.1 357.7 -23.8 -37.7  26.8  15.3 258.4     3.7 40.595 -104.948       8404.5
        1625    8417.7 357.6 -23.9 -37.9  26.4  15.3 258.4     3.6 40.595 -104.948       8407.7
        1626    8421.1 357.4 -23.9 -38.0  26.2  15.3 258.4     3.4 40.595 -104.947       8411.2
        1627    8424.3 357.2 -23.9 -38.0  26.1  15.2 258.4     3.2 40.595 -104.947       8414.7
        1628    8427.4 357.1 -23.9 -38.1  26.1  15.2 258.3     3.0 40.595 -104.947       8418.2
        1629    8430.4 356.9 -23.9 -38.2  25.8  15.2 258.3     3.0 40.595 -104.947       8421.6
        1630    8433.4 356.8 -24.0 -38.4  25.4  15.2 258.3     3.0 40.595 -104.947       8425.0
        1631    8436.5 356.6 -24.0 -38.6  24.8  15.2 258.2     3.1 40.595 -104.947       8428.3
        1632    8439.8 356.5 -24.0 -38.9  24.2  15.2 258.2     3.4 40.595 -104.946       8431.6
        1633    8443.5 356.3 -24.0 -39.0  23.8  15.2 258.1     3.6 40.595 -104.946       8435.2
        1634    8447.1 356.1 -24.0 -39.1  23.7  15.2 258.0     3.7 40.595 -104.946       8439.0
        1635    8450.8 355.9 -24.0 -39.1  23.7  15.2 258.0     3.7 40.595 -104.946       8442.7
        1636    8454.7 355.8 -24.1 -39.2  23.6  15.2 257.9     3.9 40.595 -104.946       8446.2
        1637    8458.7 355.6 -24.1 -39.3  23.5  15.2 257.8     4.0 40.595 -104.945       8449.5
        1638    8462.3 355.4 -24.2 -39.3  23.4  15.2 257.7     3.7 40.595 -104.945       8452.6
        1639    8465.6 355.2 -24.2 -39.4  23.4  15.2 257.7     3.3 40.595 -104.945       8455.8
        1640    8468.8 355.1 -24.2 -39.5  23.3  15.2 257.6     3.1 40.595 -104.945       8459.2
        1641    8471.9 354.9 -24.2 -39.5  23.2  15.2 257.5     3.2 40.595 -104.945       8462.8
        1642    8475.2 354.8 -24.2 -39.6  23.0  15.2 257.5     3.3 40.595 -104.945       8466.4
        1643    8478.5 354.6 -24.3 -39.7  22.9  15.2 257.4     3.3 40.595 -104.944       8469.9
        1644    8482.0 354.4 -24.3 -39.7  22.9  15.2 257.3     3.4 40.595 -104.944       8473.4
        1645    8485.3 354.3 -24.3 -39.7  22.9  15.2 257.2     3.4 40.595 -104.944       8477.1
        1646    8488.6 354.1 -24.4 -39.7  22.9  15.2 257.2     3.3 40.595 -104.944       8480.6
        1647    8491.7 353.9 -24.4 -39.8  22.9  15.2 257.1     3.1 40.595 -104.944       8483.8
        1648    8494.9 353.8 -24.4 -39.8  22.9  15.3 257.0     3.2 40.595 -104.944       8486.6
        1649    8498.3 353.6 -24.4 -39.8  23.0  15.3 257.0     3.4 40.595 -104.943       8489.1
        1650    8501.7 353.5 -24.5 -39.8  23.0  15.3 256.9     3.5 40.595 -104.943       8491.9
        1651    8505.1 353.3 -24.5 -39.8  23.0  15.3 256.9     3.4 40.595 -104.943       8495.2
        1652    8508.5 353.1 -24.6 -39.8  23.1  15.3 256.8     3.4 40.596 -104.943       8499.0
        1653    8512.0 353.0 -24.6 -39.8  23.2  15.3 256.7     3.5 40.596 -104.943       8502.9
        1654    8515.5 352.8 -24.6 -39.8  23.3  15.3 256.7     3.5 40.596 -104.942       8506.8
        1655    8518.8 352.6 -24.7 -39.8  23.3  15.3 256.6     3.3 40.596 -104.942       8510.3
        1656    8522.0 352.5 -24.7 -39.8  23.4  15.3 256.5     3.2 40.596 -104.942       8513.6
        1657    8525.1 352.3 -24.7 -39.8  23.4  15.3 256.4     3.1 40.596 -104.942       8516.7
        1658    8528.4 352.2 -24.7 -39.9  23.4  15.4 256.3     3.3 40.596 -104.942       8519.8
        1659    8531.8 352.0 -24.8 -39.9  23.5  15.4 256.2     3.5 40.596 -104.942       8523.0
        1660    8535.4 351.8 -24.8 -39.9  23.5  15.4 256.1     3.5 40.596 -104.941       8526.3
        1661    8538.8 351.7 -24.8 -39.9  23.6  15.4 256.0     3.4 40.596 -104.941       8529.5
        1662    8542.0 351.5 -24.9 -39.9  23.7  15.4 255.9     3.2 40.596 -104.941       8532.7
        1663    8545.2 351.4 -24.9 -39.9  23.8  15.4 255.8     3.3 40.596 -104.941       8536.0
        1664    8548.8 351.2 -24.9 -39.8  23.8  15.5 255.7     3.5 40.596 -104.941       8539.6
        1665    8552.5 351.0 -25.0 -39.8  23.9  15.5 255.5     3.7 40.596 -104.941       8543.3
        1666    8556.0 350.8 -25.0 -39.8  24.0  15.5 255.4     3.6 40.596 -104.940       8546.9
        1667    8559.4 350.7 -25.0 -39.8  24.1  15.5 255.3     3.4 40.596 -104.940       8550.2
        1668    8562.8 350.5 -25.0 -39.8  24.1  15.5 255.1     3.3 40.596 -104.940       8553.4
        1669    8566.1 350.3 -25.1 -39.9  24.1  15.5 255.0     3.4 40.596 -104.940       8556.4
        1670    8569.6 350.2 -25.1 -39.9  24.1  15.6 254.8     3.5 40.596 -104.940       8559.5
        1671    8573.1 350.0 -25.2 -40.0  24.0  15.6 254.7     3.5 40.596 -104.939       8562.7
        1672    8576.5 349.8 -25.2 -40.0  23.9  15.6 254.6     3.4 40.596 -104.939       8566.2
        1673    8580.0 349.7 -25.2 -40.1  23.8  15.6 254.4     3.4 40.596 -104.939       8569.8
        1674    8583.5 349.5 -25.2 -40.1  23.7  15.6 254.3     3.6 40.596 -104.939       8573.4
        1675    8587.3 349.3 -25.2 -40.2  23.6  15.6 254.1     3.8 40.596 -104.939       8577.2
        1676    8591.3 349.1 -25.2 -40.2  23.6  15.7 254.0     4.0 40.596 -104.939       8581.1
        1677    8595.2 348.9 -25.3 -40.2  23.7  15.7 253.9     3.9 40.596 -104.938       8585.1
        1678    8598.7 348.8 -25.3 -40.2  23.8  15.7 253.8     3.5 40.596 -104.938       8589.1
        1679    8602.0 348.6 -25.4 -40.2  23.8  15.7 253.6     3.3 40.596 -104.938       8592.9
        1680    8605.1 348.5 -25.4 -40.2  23.8  15.7 253.5     3.2 40.597 -104.938       8596.3
        1681    8608.4 348.3 -25.4 -40.3  23.8  15.7 253.4     3.3 40.597 -104.938       8599.5
        1682    8612.1 348.1 -25.4 -40.3  23.9  15.7 253.3     3.7 40.597 -104.937       8602.9
        1683    8616.0 347.9 -25.5 -40.3  24.0  15.8 253.2     3.9 40.597 -104.937       8606.4
        1684    8619.9 347.8 -25.5 -40.3  24.1  15.8 253.1     3.8 40.597 -104.937       8610.1
        1685    8623.5 347.6 -25.6 -40.3  24.2  15.8 253.1     3.7 40.597 -104.937       8613.9
        1686    8627.2 347.4 -25.6 -40.3  24.2  15.8 253.0     3.7 40.597 -104.937       8617.9
        1687    8631.1 347.2 -25.6 -40.3  24.3  15.8 252.9     3.8 40.597 -104.937       8621.9
        1688    8634.9 347.0 -25.7 -40.3  24.3  15.8 252.8     3.9 40.597 -104.936       8625.5
        1689    8638.6 346.9 -25.7 -40.3  24.4  15.8 252.8     3.6 40.597 -104.936       8628.8
        1690    8642.0 346.7 -25.8 -40.3  24.5  15.8 252.7     3.4 40.597 -104.936       8632.1
        1691    8645.3 346.5 -25.8 -40.3  24.5  15.8 252.7     3.3 40.597 -104.936       8635.5
        1692    8648.6 346.4 -25.8 -40.3  24.6  15.9 252.6     3.3 40.597 -104.936       8638.9
        1693    8652.0 346.2 -25.8 -40.3  24.7  15.9 252.6     3.3 40.597 -104.936       8642.1
        1694    8655.4 346.1 -25.9 -40.3  24.7  15.9 252.5     3.4 40.597 -104.935       8645.3
        1695    8659.0 345.9 -25.9 -40.3  24.8  15.9 252.5     3.6 40.597 -104.935       8648.4
        1696    8662.7 345.7 -26.0 -40.3  24.8  15.9 252.4     3.7 40.597 -104.935       8651.7
        1697    8666.3 345.5 -26.0 -40.4  24.9  15.9 252.4     3.6 40.597 -104.935       8655.2
        1698    8669.8 345.4 -26.0 -40.3  25.0  15.9 252.4     3.4 40.597 -104.935       8658.8
        1699    8673.1 345.2 -26.0 -40.3  25.1  15.9 252.3     3.3 40.597 -104.934       8662.4
        1700    8676.4 345.1 -26.1 -40.3  25.2  15.9 252.3     3.3 40.597 -104.934       8666.0
        1701    8679.6 344.9 -26.1 -40.3  25.3  16.0 252.2     3.2 40.597 -104.934       8669.6
        1702    8682.9 344.7 -26.1 -40.3  25.3  16.0 252.2     3.3 40.597 -104.934       8673.2
        1703    8686.3 344.6 -26.1 -40.3  25.4  16.0 252.2     3.4 40.597 -104.934       8677.0
        1704    8689.9 344.4 -26.2 -40.3  25.4  16.0 252.1     3.6 40.598 -104.934       8680.6
        1705    8693.4 344.2 -26.2 -40.4  25.4  16.0 252.1     3.5 40.598 -104.933       8683.9
        1706    8696.7 344.1 -26.2 -40.4  25.4  16.1 252.1     3.3 40.598 -104.933       8687.2
        1707    8699.9 343.9 -26.2 -40.4  25.4  16.1 252.1     3.2 40.598 -104.933       8690.5
        1708    8703.0 343.8 -26.2 -40.3  25.5  16.1 252.0     3.1 40.598 -104.933       8693.6
        1709    8706.2 343.6 -26.3 -40.2  25.8  16.1 252.0     3.2 40.598 -104.933       8696.6
        1710    8709.6 343.5 -26.3 -40.1  26.2  16.2 252.0     3.3 40.598 -104.933       8699.8
        1711    8713.0 343.3 -26.3 -40.0  26.6  16.2 251.9     3.4 40.598 -104.932       8703.4
        1712    8716.2 343.2 -26.3 -39.9  27.0  16.2 251.9     3.3 40.598 -104.932       8707.0
        1713    8719.4 343.0 -26.3 -39.8  27.2  16.2 251.9     3.2 40.598 -104.932       8710.5
        1714    8722.7 342.9 -26.4 -39.8  27.3  16.3 251.9     3.2 40.598 -104.932       8713.7
        1715    8725.8 342.7 -26.4 -39.9  27.3  16.3 251.8     3.2 40.598 -104.932       8716.8
        1716    8728.9 342.6 -26.5 -39.9  27.4  16.3 251.8     3.1 40.598 -104.931       8719.8
        1717    8732.0 342.4 -26.5 -39.9  27.5  16.4 251.8     3.1 40.598 -104.931       8723.1
        1718    8735.3 342.3 -26.5 -39.8  27.6  16.4 251.7     3.3 40.598 -104.931       8726.6
        1719    8738.8 342.1 -26.6 -39.8  27.7  16.4 251.7     3.5 40.598 -104.931       8730.3
        1720    8742.5 341.9 -26.6 -39.9  27.6  16.4 251.7     3.6 40.598 -104.931       8733.8
        1721    8746.0 341.7 -26.6 -39.9  27.5  16.5 251.6     3.5 40.598 -104.930       8737.2
        1722    8749.3 341.6 -26.6 -40.0  27.3  16.5 251.6     3.3 40.598 -104.930       8740.5
        1723    8752.4 341.4 -26.7 -40.1  27.2  16.5 251.6     3.1 40.598 -104.930       8743.8
        1724    8755.7 341.3 -26.7 -40.1  27.1  16.6 251.5     3.3 40.598 -104.930       8747.2
        1725    8759.2 341.1 -26.7 -40.2  27.0  16.6 251.5     3.5 40.598 -104.930       8750.5
        1726    8763.0 340.9 -26.8 -40.3  26.9  16.6 251.4     3.7 40.599 -104.930       8753.8
        1727    8766.7 340.8 -26.8 -40.4  26.6  16.6 251.4     3.7 40.599 -104.929       8757.2
        1728    8770.0 340.6 -26.8 -40.5  26.4  16.6 251.3     3.4 40.599 -104.929       8760.8
        1729    8773.2 340.5 -26.8 -40.6  26.3  16.7 251.3     3.1 40.599 -104.929       8764.4
        1730    8776.5 340.3 -26.8 -40.6  26.1  16.7 251.2     3.3 40.599 -104.929       8768.0
        1731    8779.8 340.1 -26.9 -40.7  26.1  16.7 251.1     3.4 40.599 -104.929       8771.5
        1732    8783.1 340.0 -26.9 -40.7  26.1  16.7 251.1     3.3 40.599 -104.928       8774.7
        1733    8786.3 339.8 -26.9 -40.7  26.1  16.7 251.0     3.2 40.599 -104.928       8777.7
        1734    8789.5 339.7 -26.9 -40.7  26.2  16.7 250.9     3.2 40.599 -104.928       8780.8
        1735    8792.8 339.5 -27.0 -40.7  26.2  16.7 250.9     3.2 40.599 -104.928       8783.9
        1736    8796.2 339.4 -27.0 -40.7  26.3  16.7 250.8     3.4 40.599 -104.928       8787.1
        1737    8799.7 339.2 -27.0 -40.7  26.3  16.7 250.7     3.5 40.599 -104.928       8790.4
        1738    8803.1 339.1 -27.1 -40.7  26.4  16.7 250.6     3.4 40.599 -104.927       8793.6
        1739    8806.3 338.9 -27.1 -40.8  26.4  16.7 250.6     3.2 40.599 -104.927       8796.8
        1740    8809.5 338.8 -27.1 -40.8  26.5  16.7 250.5     3.2 40.599 -104.927       8799.7
        1741    8812.7 338.6 -27.1 -40.8  26.5  16.7 250.5     3.2 40.599 -104.927       8802.6
        1742    8815.9 338.5 -27.2 -40.8  26.5  16.7 250.4     3.1 40.599 -104.927       8805.7
        1743    8818.8 338.3 -27.2 -40.8  26.5  16.7 250.3     2.9 40.599 -104.926       8808.9
        1744    8821.7 338.2 -27.2 -40.9  26.5  16.7 250.3     2.9 40.599 -104.926       8812.2
        1745    8824.7 338.0 -27.3 -40.9  26.4  16.7 250.2     3.0 40.599 -104.926       8815.5
        1746    8827.9 337.9 -27.3 -41.0  26.2  16.7 250.2     3.1 40.600 -104.926       8818.7
        1747    8831.0 337.7 -27.3 -41.1  26.1  16.7 250.2     3.2 40.600 -104.926       8822.1
        1748    8834.3 337.6 -27.4 -41.1  26.1  16.7 250.1     3.2 40.600 -104.925       8825.6
        1749    8837.5 337.4 -27.4 -41.1  26.1  16.7 250.1     3.2 40.600 -104.925       8829.1
        1750    8840.5 337.3 -27.4 -41.1  26.1  16.7 250.1     3.0 40.600 -104.925       8832.3
        1751    8843.4 337.2 -27.4 -41.1  26.2  16.7 250.1     2.9 40.600 -104.925       8835.4
        1752    8846.6 337.0 -27.4 -41.1  26.2  16.7 250.1     3.2 40.600 -104.925       8838.3
        1753    8850.0 336.9 -27.5 -41.1  26.3  16.6 250.1     3.4 40.600 -104.925       8841.2
        1754    8853.4 336.7 -27.5 -41.2  26.4  16.6 250.1     3.4 40.600 -104.924       8844.1
        1755    8856.7 336.5 -27.6 -41.2  26.4  16.6 250.1     3.3 40.600 -104.924       8847.0
        1756    8859.8 336.4 -27.6 -41.2  26.4  16.6 250.1     3.1 40.600 -104.924       8850.0
        1757    8862.6 336.3 -27.6 -41.2  26.5  16.6 250.2     2.9 40.600 -104.924       8853.1
        1758    8865.6 336.1 -27.6 -41.2  26.5  16.6 250.2     2.9 40.600 -104.924       8856.4
        1759    8868.8 336.0 -27.7 -41.2  26.5  16.6 250.2     3.2 40.600 -104.923       8860.0
        1760    8872.1 335.8 -27.7 -41.2  26.5  16.6 250.3     3.4 40.600 -104.923       8863.6
        1761    8875.5 335.7 -27.7 -41.3  26.5  16.5 250.3     3.4 40.600 -104.923       8867.2
        1762    8878.9 335.5 -27.8 -41.3  26.5  16.5 250.3     3.4 40.600 -104.923       8870.8
        1763    8882.1 335.3 -27.8 -41.3  26.5  16.5 250.4     3.2 40.600 -104.923       8874.3
        1764    8885.3 335.2 -27.8 -41.3  26.6  16.5 250.4     3.1 40.600 -104.922       8877.8
        1765    8888.5 335.1 -27.9 -41.3  26.7  16.5 250.4     3.2 40.600 -104.922       8881.0
        1766    8891.9 334.9 -27.9 -41.3  26.8  16.5 250.4     3.4 40.601 -104.922       8884.3
        1767    8895.5 334.7 -27.9 -41.3  26.8  16.5 250.5     3.6 40.601 -104.922       8887.6
        1768    8899.1 334.6 -28.0 -41.4  26.8  16.5 250.5     3.5 40.601 -104.922       8890.9
        1769    8902.6 334.4 -28.0 -41.4  26.8  16.5 250.5     3.5 40.601 -104.922       8894.3
        1770    8906.0 334.2 -28.0 -41.4  26.8  16.5 250.5     3.4 40.601 -104.921       8897.4
        1771    8909.2 334.1 -28.0 -41.4  26.9  16.5 250.5     3.2 40.601 -104.921       8900.6
        1772    8912.1 334.0 -28.1 -41.4  26.9  16.5 250.5     2.9 40.601 -104.921       8903.8
        1773    8915.1 333.8 -28.1 -41.5  26.9  16.5 250.5     3.0 40.601 -104.921       8907.1
        1774    8918.5 333.7 -28.2 -41.5  26.8  16.5 250.5     3.4 40.601 -104.921       8910.5
        1775    8922.0 333.5 -28.2 -41.6  26.7  16.5 250.5     3.5 40.601 -104.920       8913.9
        1776    8925.3 333.3 -28.2 -41.7  26.4  16.4 250.5     3.3 40.601 -104.920       8917.0
        1777    8928.5 333.2 -28.2 -41.9  26.1  16.4 250.4     3.2 40.601 -104.920       8920.1
        1778    8931.7 333.0 -28.2 -42.0  25.8  16.4 250.4     3.2 40.601 -104.920       8923.2
        1779    8934.9 332.9 -28.3 -42.1  25.6  16.4 250.4     3.2 40.601 -104.920       8926.4
        1780    8938.3 332.7 -28.3 -42.2  25.4  16.4 250.3     3.4 40.601 -104.920       8929.6
        1781    8941.6 332.6 -28.3 -42.2  25.5  16.4 250.3     3.4 40.601 -104.919       8932.9
        1782    8944.8 332.4 -28.3 -42.1  25.6  16.4 250.2     3.2 40.601 -104.919       8936.2
        1783    8947.9 332.3 -28.3 -42.1  25.6  16.4 250.2     3.0 40.601 -104.919       8939.3
        1784    8950.8 332.2 -28.4 -42.2  25.6  16.4 250.1     3.0 40.601 -104.919       8942.5
        1785    8954.0 332.0 -28.4 -42.2  25.5  16.4 250.0     3.2 40.601 -104.919       8945.6
        1786    8957.5 331.8 -28.4 -42.3  25.2  16.4 250.0     3.5 40.602 -104.918       8948.7
        1787    8961.1 331.7 -28.4 -42.5  24.9  16.4 249.9     3.6 40.602 -104.918       8951.6
        1788    8964.7 331.5 -28.4 -42.6  24.6  16.4 249.8     3.6 40.602 -104.918       8954.5
